Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
8,5,YKW,34,PHI,27,AWAY,7
8,5,NO,21,AZ,16,AWAY,5
8,5,COL,12,SJS,10,HOME,2
8,5,OCO,22,BAL,13,AWAY,9
8,6,PHI,27,NO,23,AWAY,4
8,6,SJS,34,AZ,20,HOME,14
8,6,COL,20,OCO,17,AWAY,3
8,6,YKW,29,BAL,24,HOME,5
8,7,PHI,48,SJS,20,HOME,28
8,7,NO,38,COL,19,HOME,19
8,7,BAL,28,AZ,14,AWAY,14
8,7,OCO,38,YKW,21,AWAY,17
8,8,AZ,40,PHI,25,HOME,15
8,8,NO,40,BAL,30,AWAY,10
8,8,OCO,19,COL,16,AWAY,3
8,8,YKW,45,SJS,27,AWAY,18
8,9,OCO,44,PHI,16,HOME,28
8,9,YKW,62,SJS,3,HOME,59
8,9,COL,24,BAL,20,HOME,4
8,9,NO,55,AZ,21,HOME,34
8,10,PHI,31,BAL,21,HOME,10
8,10,AZ,36,YKW,10,HOME,26
8,10,NO,33,OCO,10,HOME,23
8,10,COL,20,SJS,3,AWAY,17
8,11,OCO,31,PHI,27,AWAY,4
8,11,AZ,44,SJS,3,HOME,41
8,11,YKW,33,COL,6,AWAY,27
8,11,NO,27,BAL,20,HOME,7
8,12,COL,35,PHI,20,HOME,15
8,12,OCO,38,YKW,17,HOME,21
8,12,NO,40,SJS,6,AWAY,34
8,12,BAL,30,AZ,20,HOME,10
8,13,PHI,31,AZ,14,HOME,17
8,13,OCO,27,NO,26,HOME,1
8,13,BAL,54,SJS,9,AWAY,45
8,13,YKW,28,COL,12,HOME,16
8,14,YKW,31,PHI,3,HOME,28
8,14,NO,51,SJS,6,HOME,45
8,14,BAL,33,COL,17,HOME,16
8,14,AZ,36,OCO,31,HOME,5
8,P,YKW,38,BAL,24,HOME,14
8,P,NO,20,OCO,17,AWAY,3
8,U,YKW,24,NO,13,HOME,11
9,1,BAL,27,YKW,20,HOME,7
9,1,OCO,41,SJS,14,HOME,27
9,1,COL,23,AZ,16,HOME,7
9,1,NO,40,PHI,6,AWAY,34
9,2,BAL,41,COL,6,HOME,35
9,2,PHI,27,SJS,24,AWAY,3
9,2,AZ,12,YKW,6,AWAY,6
9,2,NO,40,OCO,22,HOME,18
9,3,NO,23,YKW,10,AWAY,13
9,3,BAL,24,AZ,9,AWAY,15
9,3,COL,20,SJS,7,HOME,13
9,3,OCO,31,PHI,6,AWAY,25
9,4,PHI,27,AZ,17,AWAY,10
9,4,YKW,27,SJS,16,AWAY,11
9,4,OCO,34,BAL,14,HOME,20
9,4,NO,45,COL,3,HOME,42
9,5,BAL,37,SJS,3,HOME,34
9,5,COL,45,PHI,3,HOME,42
9,5,YKW,28,OCO,13,HOME,15
9,5,NO,48,AZ,10,HOME,38
9,6,YKW,35,COL,28,AWAY,7
9,6,NO,45,SJS,7,AWAY,38
9,6,OCO,65,AZ,16,HOME,49
9,6,BAL,41,PHI,16,AWAY,25
9,7,BAL,38,NO,23,HOME,15
9,7,OCO,38,COL,31,HOME,7
9,7,AZ,29,SJS,17,HOME,12
9,7,PHI,38,YKW,17,HOME,21
9,8,BAL,31,YKW,20,AWAY,11
9,8,SJS,28,OCO,23,HOME,5
9,8,COL,31,AZ,27,AWAY,4
9,8,NO,58,PHI,10,HOME,48
9,9,BAL,31,COL,13,AWAY,18
9,9,NO,24,OCO,15,AWAY,9
9,9,YKW,45,AZ,10,AWAY,35
9,9,SJS,20,PHI,19,AWAY,1
9,10,BAL,41,AZ,13,HOME,28
9,10,COL,24,SJS,17,AWAY,7
9,10,OCO,44,PHI,9,HOME,35
9,10,YKW,30,NO,24,AWAY,6
9,11,OCO,31,BAL,21,AWAY,10
9,11,NO,34,COL,14,AWAY,20
9,11,YKW,48,SJS,7,HOME,41
9,11,PHI,20,AZ,17,HOME,3
9,12,NO,37,AZ,13,AWAY,24
9,12,BAL,57,SJS,7,AWAY,50
9,12,OCO,30,YKW,19,HOME,11
9,12,COL,21,PHI,7,AWAY,14
9,13,BAL,54,PHI,7,HOME,47
9,13,OCO,35,AZ,3,AWAY,32
9,13,COL,34,YKW,23,AWAY,11
9,13,NO,51,SJS,3,HOME,48
9,14,YKW,52,PHI,23,HOME,29
9,14,AZ,27,SJS,14,AWAY,13
9,14,COL,40,OCO,23,HOME,17
9,14,NO,38,BAL,16,HOME,22
9,P,BAL,40,COL,34,HOME,6
9,P,NO,39,OCO,21,HOME,18
9,U,NO,37,BAL,24,HOME,13
10,1,BAL,24,YKW,13,AWAY,11
10,1,OCO,24,SJS,15,AWAY,9
10,1,COL,27,AZ,20,AWAY,7
10,1,NO,47,PHI,12,HOME,35
10,2,BAL,30,COL,28,AWAY,2
10,2,SJS,14,PHI,10,AWAY,4
10,2,AZ,35,YKW,21,HOME,14
10,2,OCO,24,NO,10,HOME,14
10,3,NO,30,YKW,27,HOME,3
10,3,BAL,35,AZ,16,HOME,19
10,3,COL,34,SJS,13,AWAY,21
10,3,OCO,45,PHI,10,HOME,35
10,4,AZ,41,PHI,3,AWAY,38
10,4,YKW,34,SJS,26,HOME,8
10,4,BAL,33,OCO,16,HOME,17
10,4,NO,34,COL,31,AWAY,3
10,5,BAL,39,SJS,24,AWAY,15
10,5,COL,25,PHI,22,AWAY,3
10,5,YKW,27,OCO,3,AWAY,24
10,5,NO,41,AZ,3,AWAY,38
10,6,YKW,30,COL,13,HOME,17
10,6,NO,45,SJS,6,HOME,39
10,6,OCO,30,AZ,13,AWAY,17
10,6,BAL,68,PHI,7,HOME,61
10,7,NO,38,BAL,12,HOME,26
10,7,COL,21,OCO,13,HOME,8
10,7,SJS,20,AZ,19,HOME,1
10,7,YKW,30,PHI,19,HOME,11
10,8,BAL,37,YKW,20,HOME,17
10,8,OCO,30,SJS,15,HOME,15
10,8,COL,28,AZ,7,HOME,21
10,8,NO,38,PHI,17,AWAY,21
10,9,BAL,41,COL,20,HOME,21
10,9,NO,61,OCO,7,HOME,54
10,9,YKW,30,AZ,17,HOME,13
10,9,SJS,23,PHI,10,HOME,13
10,10,BAL,34,AZ,13,AWAY,21
10,10,COL,54,SJS,3,HOME,51
10,10,OCO,16,PHI,12,AWAY,4
10,10,YKW,37,NO,30,AWAY,7
10,11,BAL,23,OCO,10,AWAY,13
10,11,NO,33,COL,28,HOME,5
10,11,SJS,42,YKW,20,HOME,22
10,11,AZ,36,PHI,14,HOME,22
10,12,NO,34,AZ,20,HOME,14
10,12,BAL,45,SJS,30,HOME,15
10,12,YKW,30,OCO,0,HOME,30
10,12,COL,34,PHI,10,HOME,24
10,13,BAL,31,PHI,7,AWAY,24
10,13,OCO,26,AZ,3,HOME,23
10,13,COL,34,YKW,27,HOME,7
10,13,NO,33,SJS,21,AWAY,12
10,14,YKW,27,PHI,9,AWAY,18
10,14,AZ,50,SJS,6,HOME,44
10,14,COL,26,OCO,3,AWAY,23
10,14,BAL,34,NO,31,HOME,3
10,P,BAL,37,COL,28,HOME,9
10,P,NO,10,OCO,3,HOME,7
10,U,BAL,29,NO,23,HOME,6
11,1,BAL,33,YKW,13,HOME,20
11,1,OCO,23,SJS,7,HOME,16
11,1,COL,27,AZ,20,HOME,7
11,1,NO,29,PHI,17,AWAY,12
11,2,BAL,45,COL,13,HOME,32
11,2,PHI,10,SJS,6,AWAY,4
11,2,AZ,34,YKW,24,AWAY,10
11,2,NO,33,OCO,27,HOME,6
11,3,YKW,41,NO,31,HOME,10
11,3,BAL,34,AZ,31,AWAY,3
11,3,COL,37,SJS,14,HOME,23
11,3,OCO,26,PHI,21,AWAY,5
11,4,PHI,25,AZ,20,AWAY,5
11,4,YKW,31,SJS,17,AWAY,14
11,4,BAL,34,OCO,26,AWAY,8
11,4,NO,43,COL,31,HOME,12
11,5,BAL,31,SJS,17,HOME,14
11,5,COL,34,PHI,31,HOME,3
11,5,YKW,26,OCO,10,HOME,16
11,5,NO,51,AZ,34,HOME,17
11,6,COL,51,YKW,41,HOME,10
11,6,NO,37,SJS,17,AWAY,20
11,6,OCO,28,AZ,20,HOME,8
11,6,PHI,30,BAL,14,HOME,16
11,7,NO,33,BAL,30,AWAY,3
11,7,OCO,27,COL,16,HOME,11
11,7,AZ,31,SJS,10,HOME,21
11,7,PHI,24,YKW,21,HOME,3
11,8,BAL,27,YKW,20,AWAY,7
11,8,OCO,31,SJS,28,AWAY,3
11,8,AZ,37,COL,34,HOME,3
11,8,NO,40,PHI,17,HOME,23
11,9,COL,45,BAL,27,HOME,18
11,9,OCO,35,NO,25,HOME,10
11,9,AZ,38,YKW,16,HOME,22
11,9,SJS,27,PHI,21,AWAY,6
11,10,BAL,44,AZ,17,HOME,27
11,10,COL,27,SJS,24,AWAY,3
11,10,OCO,37,PHI,14,HOME,23
11,10,NO,37,YKW,6,HOME,31
11,11,OCO,17,BAL,10,AWAY,7
11,11,COL,27,NO,17,HOME,10
11,11,YKW,41,SJS,7,HOME,34
11,11,PHI,17,AZ,13,HOME,4
11,12,NO,14,AZ,10,AWAY,4
11,12,BAL,30,SJS,24,AWAY,6
11,12,OCO,34,YKW,22,HOME,12
11,12,PHI,38,COL,13,HOME,25
11,13,BAL,20,PHI,10,HOME,10
11,13,AZ,44,OCO,41,HOME,3
11,13,COL,36,YKW,21,AWAY,15
11,13,NO,34,SJS,14,HOME,20
11,14,PHI,34,YKW,13,AWAY,21
