Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
,,,19,,28,IMPOSSIBLE,-9
,,,20,,28,IMPOSSIBLE,-8
,,,21,,28,IMPOSSIBLE,-7
,,,22,,28,IMPOSSIBLE,-6
,,,23,,28,IMPOSSIBLE,-5
,,,24,,28,IMPOSSIBLE,-4
,,,25,,28,IMPOSSIBLE,-3
,,,26,,28,IMPOSSIBLE,-2
,,,27,,28,IMPOSSIBLE,-1
,,,0,,29,IMPOSSIBLE,-29
,,,1,,29,IMPOSSIBLE,-28
,,,2,,29,IMPOSSIBLE,-27
,,,3,,29,IMPOSSIBLE,-26
,,,4,,29,IMPOSSIBLE,-25
,,,5,,29,IMPOSSIBLE,-24
,,,6,,29,IMPOSSIBLE,-23
,,,7,,29,IMPOSSIBLE,-22
,,,8,,29,IMPOSSIBLE,-21
,,,9,,29,IMPOSSIBLE,-20
,,,10,,29,IMPOSSIBLE,-19
,,,11,,29,IMPOSSIBLE,-18
,,,12,,29,IMPOSSIBLE,-17
,,,13,,29,IMPOSSIBLE,-16
,,,14,,29,IMPOSSIBLE,-15
,,,15,,29,IMPOSSIBLE,-14
,,,16,,29,IMPOSSIBLE,-13
,,,17,,29,IMPOSSIBLE,-12
,,,18,,29,IMPOSSIBLE,-11
,,,19,,29,IMPOSSIBLE,-10
,,,20,,29,IMPOSSIBLE,-9
,,,21,,29,IMPOSSIBLE,-8
,,,22,,29,IMPOSSIBLE,-7
,,,23,,29,IMPOSSIBLE,-6
,,,24,,29,IMPOSSIBLE,-5
,,,25,,29,IMPOSSIBLE,-4
,,,26,,29,IMPOSSIBLE,-3
,,,27,,29,IMPOSSIBLE,-2
,,,28,,29,IMPOSSIBLE,-1
,,,0,,30,IMPOSSIBLE,-30
,,,1,,30,IMPOSSIBLE,-29
,,,2,,30,IMPOSSIBLE,-28
,,,3,,30,IMPOSSIBLE,-27
,,,4,,30,IMPOSSIBLE,-26
,,,5,,30,IMPOSSIBLE,-25
,,,6,,30,IMPOSSIBLE,-24
,,,7,,30,IMPOSSIBLE,-23
,,,8,,30,IMPOSSIBLE,-22
,,,9,,30,IMPOSSIBLE,-21
,,,10,,30,IMPOSSIBLE,-20
,,,11,,30,IMPOSSIBLE,-19
,,,12,,30,IMPOSSIBLE,-18
,,,13,,30,IMPOSSIBLE,-17
,,,14,,30,IMPOSSIBLE,-16
,,,15,,30,IMPOSSIBLE,-15
,,,16,,30,IMPOSSIBLE,-14
,,,17,,30,IMPOSSIBLE,-13
,,,18,,30,IMPOSSIBLE,-12
,,,19,,30,IMPOSSIBLE,-11
,,,20,,30,IMPOSSIBLE,-10
,,,21,,30,IMPOSSIBLE,-9
,,,22,,30,IMPOSSIBLE,-8
,,,23,,30,IMPOSSIBLE,-7
,,,24,,30,IMPOSSIBLE,-6
,,,25,,30,IMPOSSIBLE,-5
,,,26,,30,IMPOSSIBLE,-4
,,,27,,30,IMPOSSIBLE,-3
,,,28,,30,IMPOSSIBLE,-2
,,,29,,30,IMPOSSIBLE,-1
,,,0,,31,IMPOSSIBLE,-31
,,,1,,31,IMPOSSIBLE,-30
,,,2,,31,IMPOSSIBLE,-29
,,,3,,31,IMPOSSIBLE,-28
,,,4,,31,IMPOSSIBLE,-27
,,,5,,31,IMPOSSIBLE,-26
,,,6,,31,IMPOSSIBLE,-25
,,,7,,31,IMPOSSIBLE,-24
,,,8,,31,IMPOSSIBLE,-23
,,,9,,31,IMPOSSIBLE,-22
,,,10,,31,IMPOSSIBLE,-21
,,,11,,31,IMPOSSIBLE,-20
,,,12,,31,IMPOSSIBLE,-19
,,,13,,31,IMPOSSIBLE,-18
,,,14,,31,IMPOSSIBLE,-17
,,,15,,31,IMPOSSIBLE,-16
,,,16,,31,IMPOSSIBLE,-15
,,,17,,31,IMPOSSIBLE,-14
,,,18,,31,IMPOSSIBLE,-13
,,,19,,31,IMPOSSIBLE,-12
,,,20,,31,IMPOSSIBLE,-11
,,,21,,31,IMPOSSIBLE,-10
,,,22,,31,IMPOSSIBLE,-9
,,,23,,31,IMPOSSIBLE,-8
,,,24,,31,IMPOSSIBLE,-7
,,,25,,31,IMPOSSIBLE,-6
,,,26,,31,IMPOSSIBLE,-5
,,,27,,31,IMPOSSIBLE,-4
,,,28,,31,IMPOSSIBLE,-3
,,,29,,31,IMPOSSIBLE,-2
,,,30,,31,IMPOSSIBLE,-1
,,,0,,32,IMPOSSIBLE,-32
,,,1,,32,IMPOSSIBLE,-31
,,,2,,32,IMPOSSIBLE,-30
,,,3,,32,IMPOSSIBLE,-29
,,,4,,32,IMPOSSIBLE,-28
,,,5,,32,IMPOSSIBLE,-27
,,,6,,32,IMPOSSIBLE,-26
,,,7,,32,IMPOSSIBLE,-25
,,,8,,32,IMPOSSIBLE,-24
,,,9,,32,IMPOSSIBLE,-23
,,,10,,32,IMPOSSIBLE,-22
,,,11,,32,IMPOSSIBLE,-21
,,,12,,32,IMPOSSIBLE,-20
,,,13,,32,IMPOSSIBLE,-19
