Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
13,7,PB,30,POR,14,HOME,16
13,8,PB,24,KC,13,AWAY,11
13,8,POR,51,TIJ,7,HOME,44
13,8,SA,20,NOR,13,AWAY,7
13,9,SA,31,TIJ,24,AWAY,7
13,9,PB,28,NOR,3,HOME,25
13,9,KC,13,POR,6,HOME,7
13,10,KC,26,NOR,21,HOME,5
13,10,SA,44,POR,0,HOME,44
13,10,TIJ,30,PB,6,HOME,24
13,11,TIJ,23,KC,17,HOME,6
13,11,SA,24,PB,7,HOME,17
13,11,POR,7,NOR,3,HOME,4
13,12,KC,26,NOR,15,AWAY,11
13,12,POR,16,PB,7,HOME,9
13,12,TIJ,21,SA,20,AWAY,1
13,13,TIJ,14,PB,10,AWAY,4
13,13,KC,16,SA,10,HOME,6
13,13,POR,21,NOR,16,AWAY,5
13,14,NOR,24,TIJ,17,HOME,7
13,14,SA,22,PB,13,AWAY,9
13,14,KC,17,POR,10,AWAY,7
13,P,TIJ,37,SA,10,AWAY,27
13,P,KC,21,POR,10,HOME,11
13,U,TIJ,30,KC,27,AWAY,3
14,1,SA,29,PB,24,AWAY,5
14,1,POR,41,TIJ,0,HOME,41
14,1,NOR,35,KC,13,HOME,22
14,2,TIJ,16,PB,6,AWAY,10
14,2,SA,17,KC,8,AWAY,9
14,2,NOR,20,POR,17,HOME,3
14,3,NOR,25,PB,7,HOME,18
14,3,SA,33,TIJ,13,HOME,20
14,3,POR,28,KC,13,AWAY,15
14,4,SA,42,PB,0,HOME,42
14,4,TIJ,37,NOR,28,HOME,9
14,4,POR,29,KC,17,HOME,12
14,5,PB,26,TIJ,20,AWAY,6
14,5,SA,31,POR,25,HOME,6
14,5,NOR,24,KC,14,AWAY,10
14,6,KC,34,PB,31,AWAY,3
14,6,SA,13,TIJ,10,AWAY,3
14,6,POR,29,NOR,7,HOME,22
14,7,POR,31,PB,19,AWAY,12
14,7,SA,33,NOR,17,HOME,16
14,7,TIJ,24,KC,7,HOME,17
14,8,PB,27,KC,12,AWAY,15
14,8,POR,20,SA,17,HOME,3
14,8,TIJ,23,NOR,19,AWAY,4
14,9,SA,31,PB,9,AWAY,22
14,9,TIJ,24,POR,20,HOME,4
14,9,NOR,24,KC,10,HOME,14
14,10,TIJ,24,PB,10,AWAY,14
14,10,SA,49,KC,3,HOME,46
14,10,POR,29,NOR,19,AWAY,10
14,11,PB,27,NOR,24,HOME,3
14,11,SA,22,TIJ,10,HOME,12
14,11,KC,28,POR,24,HOME,4
14,12,SA,24,PB,10,HOME,14
14,12,TIJ,31,KC,23,AWAY,8
14,12,POR,23,NOR,20,HOME,3
14,13,TIJ,38,PB,27,HOME,11
14,13,POR,41,KC,3,HOME,38
14,13,SA,24,NOR,17,AWAY,7
14,14,SA,33,TIJ,27,AWAY,6
14,14,NOR,40,KC,21,AWAY,19
14,14,POR,30,PB,10,HOME,20
14,P,TIJ,30,SA,21,AWAY,9
14,P,POR,16,NOR,13,HOME,3
14,U,POR,34,TIJ,20,HOME,14
15,1,POR,37,NOR,10,HOME,27
15,1,PB,24,SA,6,HOME,18
15,1,KC,23,TIJ,7,AWAY,16
15,2,POR,23,KC,9,HOME,14
15,2,TIJ,39,PB,13,AWAY,26
15,2,NOR,21,SA,20,AWAY,1
15,3,NOR,34,KC,12,HOME,22
15,3,PB,31,POR,28,HOME,3
15,3,TIJ,34,SA,17,AWAY,17
15,4,NOR,15,POR,10,HOME,5
15,4,PB,34,KC,6,AWAY,28
15,4,SA,21,TIJ,10,AWAY,11
15,5,TIJ,21,NOR,14,AWAY,7
15,5,KC,14,POR,10,HOME,4
15,5,SA,24,PB,24,TIE,0
15,6,POR,19,SA,13,HOME,6
15,6,NOR,23,KC,22,AWAY,1
15,6,TIJ,30,PB,13,HOME,17
15,7,POR,34,TIJ,31,HOME,3
15,7,PB,17,NOR,13,AWAY,4
15,7,KC,20,SA,3,HOME,17
15,8,KC,23,PB,6,AWAY,17
15,8,SA,20,POR,10,HOME,10
15,8,TIJ,31,NOR,0,HOME,31
15,9,POR,41,NOR,21,HOME,20
15,9,KC,23,TIJ,17,HOME,6
15,9,PB,30,SA,20,HOME,10
15,10,POR,19,KC,10,HOME,9
15,10,NOR,20,SA,10,HOME,10
15,10,TIJ,33,PB,25,AWAY,8
15,11,PB,26,POR,24,AWAY,2
15,11,KC,20,NOR,6,AWAY,14
15,11,SA,30,TIJ,20,HOME,10
15,12,POR,24,NOR,17,AWAY,7
15,12,SA,31,KC,3,HOME,28
15,12,TIJ,28,PB,7,HOME,21
15,13,KC,27,POR,24,HOME,3
15,13,PB,30,NOR,10,HOME,20
15,13,TIJ,42,SA,13,HOME,29
15,14,NOR,44,KC,22,AWAY,22
15,14,SA,30,PB,13,HOME,17
15,14,TIJ,17,POR,10,HOME,7
15,P,PB,34,TIJ,23,AWAY,11
15,P,POR,31,KC,7,HOME,24
15,U,PB,37,POR,17,HOME,20
16,1,TIJ,24,SA,17,AWAY,7
16,1,NOR,14,PB,10,AWAY,4
16,1,POR,31,KC,13,AWAY,18
16,2,KC,20,NOR,10,HOME,10
16,2,POR,23,SA,14,HOME,9
16,2,TIJ,26,PB,19,HOME,7
16,3,TIJ,15,KC,10,AWAY,5
16,3,POR,34,NOR,10,HOME,24
16,3,SA,37,PB,20,HOME,17
16,4,TIJ,40,SA,6,AWAY,34
16,4,PB,28,KC,20,HOME,8
16,4,POR,24,NOR,13,AWAY,11
16,5,TIJ,28,PB,27,AWAY,1
16,5,SA,16,NOR,13,HOME,3
16,5,KC,20,POR,19,AWAY,1
16,6,KC,20,NOR,19,AWAY,1
16,6,POR,24,TIJ,22,AWAY,2
16,6,SA,21,PB,20,AWAY,1
16,7,TIJ,29,NOR,13,HOME,16
16,7,KC,23,SA,16,AWAY,7
16,7,POR,17,PB,10,AWAY,7
16,8,KC,31,PB,13,HOME,18
16,8,TIJ,26,POR,20,AWAY,6
16,8,SA,33,NOR,13,AWAY,20
16,9,TIJ,17,SA,9,HOME,8
16,9,PB,27,NOR,9,HOME,18
16,9,KC,38,POR,10,HOME,28
16,10,KC,34,NOR,17,HOME,17
16,10,POR,34,SA,27,AWAY,7
16,10,TIJ,23,PB,7,HOME,16
16,11,TIJ,26,KC,23,HOME,3
16,11,SA,51,PB,0,HOME,51
16,11,POR,45,NOR,10,HOME,35
16,12,KC,26,NOR,13,AWAY,13
16,12,POR,42,PB,7,HOME,35
16,12,TIJ,20,SA,17,AWAY,3
16,13,TIJ,32,PB,17,AWAY,15
16,13,SA,31,KC,20,AWAY,11
16,13,POR,33,NOR,3,AWAY,30
16,14,NOR,33,TIJ,12,HOME,21
16,14,SA,23,PB,15,AWAY,8
16,14,POR,23,KC,13,HOME,10
16,P,TIJ,24,SA,13,HOME,11
16,P,POR,23,KC,13,HOME,10
16,U,TIJ,28,POR,14,HOME,14
17,1,POR,44,NOR,3,HOME,41
17,1,TIJ,36,KC,24,AWAY,12
17,1,SA,44,PB,24,AWAY,20
17,2,NOR,27,PB,20,AWAY,7
17,2,SA,44,TIJ,20,HOME,24
17,2,POR,38,KC,0,HOME,38
17,3,POR,16,PB,6,AWAY,10
17,3,TIJ,31,NOR,7,AWAY,24
17,3,SA,41,KC,7,HOME,34
17,4,POR,45,NOR,20,AWAY,25
17,4,TIJ,30,PB,7,HOME,23
17,4,KC,24,SA,14,HOME,10
